,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
OCCP_2digit_35,-0.00869485947825888,0.013491658422623783,0.001440661440103499,0.0041750487583848825,0.009121839132154726,0.005400270899474522,0.0006714817369925499,-0.008712583812204343,-0.009675465111148472,-0.01056157146217764
OCCP_2digit_36,0.004657858745317543,-0.027329670000192763,0.010292355051735255,-0.026507411989637047,0.02248775596868145,0.015160244010735117,0.016160497006035918,-0.027862367186739623,-0.025106827234372884,-0.00579596944407617
OCCP_2digit_37,-0.014039480333718374,0.004928618075514097,-0.001171200350082909,-0.004725791300285293,-0.010164754777741775,-0.009510138140745942,-0.006373548863230662,-0.0032837545136235437,0.03414628120392682,-0.0042698052873829835
OCCP_2digit_38,-0.012931719580428302,-0.01759844605401562,-0.004569238098153684,-0.03502994780838974,-0.03182437148974022,-0.02390332857772733,-0.01791406351727995,-0.02662749441518508,0.055962492522772786,-0.007859153208388668
OCCP_2digit_39,0.00934274177758416,-0.014024233432392447,-0.022130428686671356,0.007588172926087441,0.0028777848566903953,0.02605083528435526,0.018246111298148786,-0.008849915332175164,0.009048007902174512,-0.01000574655402407
OCCP_2digit_40,0.016632730025066992,-0.01235384370623977,-0.006480025807531229,-0.008232570127026514,0.006892234857073879,0.07179524270501249,0.04211176071543625,-0.05113075770957785,-0.00999263705485337,0.02155787157600697
OCCP_2digit_41,0.02332220852791572,-0.012252301155901115,0.0026843646594270952,-0.012000112301779853,0.025074811625952955,0.07987038494407216,0.04860315558986547,-0.038671840901811014,0.008125066958827793,-0.01694506086387737
OCCP_2digit_42,0.17448039308018506,0.003310680205214662,-0.020360992096523565,-0.026724139004382225,0.014638481659652041,-0.008847560393658034,-0.13013611712019485,0.1452227613603723,-0.008679771287946992,-0.0408964684350455
OCCP_2digit_43,0.007824873889917991,-0.0006622397355403425,-0.012514222092535502,0.0020895121450540967,0.006714055451017596,0.019210493410227614,0.030697332173471342,0.0017760174892869102,0.0065539073129093975,-0.02406410852480337
OCCP_2digit_44,0.01023935030552598,-0.003152224605074453,-0.010453835219944372,0.00399182391337603,0.0073476733535779055,0.019340507249034692,-0.0035198929587810742,-0.005266733563180661,0.007056725964020314,-0.006280219341095042
OCCP_2digit_45,0.005577349143863927,-0.029465316504416087,0.0017608674768268555,-0.022349573167902544,0.03819435513836672,-0.02026011288466253,0.003375558650387136,-0.06194725216988549,-0.012967820694990764,-0.011054449049768591
OCCP_2digit_46,0.007201942226201559,-0.00338765592062527,-0.0031739750310315015,-0.02048298283169979,0.00570111396365141,0.05281239524280157,0.028187132196979194,-0.022238756134658793,-0.022927008435901803,-0.016563982701335685
OCCP_2digit_47,0.0069722931410760615,-0.005073061371836145,-0.008639778647708766,0.00328139314965984,0.0049138951851270245,0.05157304421300936,0.013204003708271989,-0.03403650019006953,-0.0068205872279211415,0.014124364724011943
OCCP_2digit_48,-0.01468500290675612,0.024338869794015852,-0.0007470018485550071,0.005651873982374522,-0.0015493146622602026,-0.01598711541884799,-0.007042483657879055,0.005685427234505689,-0.002786128490286735,0.01710502450677516
OCCP_2digit_49,0.00171344899618748,0.012108436745284666,0.0019366432956012501,-0.0048138402145659984,-0.0012810561607755064,-0.006005332430681856,0.014700630269318823,0.0026444920454413803,0.007143608298642411,0.000710050932773669
OCCP_2digit_50,-0.01541454892393876,0.01228732974275057,-0.0024960507775323576,0.006416419483695514,0.00014234061734397512,-0.008720953598557585,0.0008251011941489776,0.009574235482152993,-0.00899152170760493,-0.0012810852401661835
OCCP_2digit_51,-0.0071933682323149116,0.02093208780244123,-0.002321409947688707,0.002683851374179018,0.005831391467138623,0.002220965496041549,-0.011646401913418746,-0.0007771891581910008,-0.006690772331584431,-0.004596475103301618
OCCP_2digit_52,-0.007154717938427566,-0.007277335988637463,-0.02376660825759945,0.006373089712299572,0.006391374929841864,0.03216144297343801,0.001748818787856593,-0.008489686292713294,0.0005774397886450838,-0.005409203866413867
OCCP_2digit_53,0.0022451347608229218,0.002651447695271156,-0.0058790306735682476,-0.0018913113701890794,0.00047638056900317936,0.008786288634567572,0.00460975779375513,-0.009187308395555557,0.006613376673033083,-0.017143932930679628
OCCP_2digit_54,-0.0018308755749666475,-0.0003270150096157448,-0.010095177694416518,0.010397748353658429,0.005602194317603086,0.0054512475839635305,0.0008269743366997297,-0.004202426797738663,-0.009779421875399813,-0.0027512297555499633
OCCP_2digit_55,-0.003966577618293308,0.0010861141401770189,0.002034249432923758,0.000592177756475763,0.0005804684515385883,0.011539361922237439,-0.0023601233529492852,-0.0022898685014719994,0.025595670327426823,-0.007600823964313466
OCCP_2digit_56,-0.0031068493578564464,0.008196820028707199,-0.002632852595172025,-0.00473974195980859,0.0034795407518760546,0.0015370253960707329,-0.0012324102638042378,0.010750592350183271,0.0021136084343446617,-0.0011493907259544798
OCCP_2digit_57,-0.01269307271598832,0.015890675779535283,0.003122876213443013,0.008482037725869833,-0.004737961593426412,-0.01131711029717943,-0.004971168247613089,-0.009705875165741305,-0.015924986154868852,-0.008094957995098687
OCCP_2digit_58,-0.004130787703990193,0.00419985726527523,-0.009140321279711035,0.0016201194954342663,0.01090686790178541,0.010021399341026704,-0.00903877866392162,0.010041074706191238,-0.0011722288827417766,-0.0077474319402814
OCCP_2digit_59,-0.006645050650617801,-0.007050461035093641,-0.013611643387338722,0.014280782965970509,0.0037012899186180865,0.005718185424038186,-0.002007445520149614,-0.0022116471174172124,-0.005414959310136801,-0.010089097454560332
OCCP_2digit_60,-0.00037830223924894196,-0.01539599792604725,0.007118221694699036,-0.041037246003513564,0.024818709555412165,0.0061769559306994685,0.06794629928570474,0.023660843494037156,-0.0230295916723414,0.026265203500722173
OCCP_2digit_61,0.001623502003643277,-0.02328433082993005,-0.022618470619933575,0.01922526395691972,-0.0020035966337225894,-0.0012815130294166882,0.005650484385588393,-0.006689519392805344,0.003040156194869555,-0.004396481069689269
OCCP_2digit_62,0.0023869829284636278,-0.02168372218672707,-0.02353105082398128,0.014232182021367862,-0.013100383771439307,0.0034438545596523263,0.013831986958875794,-0.010225892215959303,-0.015075536886390156,0.011546179485824544
OCCP_2digit_63,-0.01064598581230794,0.0002460004953099263,-0.010128359111234454,-0.0008137152866520878,0.009568693406450673,-0.02706300414036062,0.0051361920885093035,-0.0135534842210849,-0.0068282171268731606,0.012400470672755817
OCCP_2digit_64,0.004172645632234193,-0.008558711877894866,-0.018258460934611195,0.0029607966204159564,-0.004178484616160676,0.0042260789995745545,0.03363771902116514,-0.005984146115874751,-0.010331153112385121,0.008161981925495203
OCCP_2digit_65,-0.004143526745251094,0.004489307547223725,-0.003543692198970689,0.001283158870399945,0.003456311208629095,0.005719306754314558,-0.001031461495409167,-0.009356053203799522,-0.006052605272970479,0.0047527600889162806
OCCP_2digit_66,-0.003388782635910175,0.0038992455691555417,-0.0005742424184534398,-0.0007894587170598615,-0.005447322839732547,-0.0033473903888795657,0.001621066555134026,-0.0015282828082536096,0.016340338499865905,-0.0060729941920907166
OCCP_2digit_67,-0.0037177311856731385,0.0019826989477733634,-0.004518742039487851,0.008217744099975962,-0.006742376682101938,-0.015262700598907013,0.0037079388761118172,0.002143356396023831,-0.00575310945610923,0.010683900453945539
OCCP_2digit_68,-0.005364183165470681,-0.003946958481990632,-0.0015287770359013924,-0.009167556988978854,-0.009848039932842527,-0.025657643708193532,0.009601833268591934,-0.014253521693060654,-0.005186818421818373,0.013999212986631156
OCCP_2digit_69,-0.015285360557133547,0.0019784610012617315,0.0008794638653415469,-0.005949419596373548,-0.0012309401878210279,-0.01743489303126728,0.0004815536842743609,0.021738706548303236,-0.01070684828164449,0.020292002873419385
OCCP_2digit_70,-0.007185472135212194,0.01635740567110205,0.000505113745752854,-0.00035330405776677685,-0.011407541713946985,-0.014818105027303366,0.003325959174188633,-0.00906752467130221,0.032996545232096136,-0.0037675388362705745
OCCP_2digit_71,-0.005040713466164625,0.007636200209429678,-0.002571420352325366,-0.02185830508462522,-0.03329186549077928,-0.011132427021869166,0.006726315477798841,-0.0058563908292408135,0.09918284146657615,-0.019054321261025787
OCCP_2digit_72,-0.017422588572393965,0.014185380771744761,-0.0077451189477804865,-0.00845156082054836,-0.003110902814492129,0.0032601408900916518,0.004960610521650062,0.005264884123117795,0.002028219125912282,0.0160538860872233
OCCP_2digit_73,-0.00814295179849376,-0.008266543769738323,-0.0229358340418534,0.0006088888599568867,-0.008711110195620292,-0.0018114735979975216,0.01561824905508885,0.01316640219364053,0.014049954041764274,0.005630621833891534
OCCP_2digit_74,0.00043393037591001087,0.014400434275966578,0.0007602787410933136,0.004756507327987754,0.00024149155867713245,-0.007279668408153514,0.0030584608877659183,-0.007723155949212284,9.781518298713734e-05,-0.004764640670351428
OCCP_2digit_75,-0.0041905086404715325,0.0034304485804505323,-0.0034615339286993385,-0.000844690982949134,0.0022552775681789145,0.00405637352978421,0.0018983177328576535,-6.932275976370906e-05,0.005818074757827658,-0.003056833024680186
OCCP_2digit_76,-0.006739883975025563,0.009672164388019495,-0.0030945065640146873,9.594353425344326e-05,0.001169928892855079,0.0035951293448065135,0.006017244855963123,0.005320030535934734,0.010323194974223418,-0.01104228037540237
OCCP_2digit_77,-0.0018949156866292173,-0.007120887807184283,-0.013163881480339227,-0.012849977162311682,-0.011268945075723198,-0.009902585641108358,0.013240512941093343,-0.005902286846734606,-0.016196792020112295,0.006751978536694216
OCCP_2digit_78,0.002281263280654631,0.006772838521922488,0.0012941478702753768,-0.0072478072905383896,-0.0025435462258444046,0.003602700292949343,0.008873943900113349,0.011843284396586311,-0.0005919266810764875,0.0011624725682741188
OCCP_2digit_79,-0.00861922413468,-0.0046111416362198615,-0.0023691702424931834,-0.014621289300224521,-0.012448697045111316,0.003179851158130833,-0.005336728536626021,-0.008342303370962747,-0.021602488238505118,0.0032064882940968896
OCCP_2digit_80,-0.002439293164581841,0.0024891056409964804,-0.00297714001972705,-0.0046418482381246845,-0.001847763430382545,-0.0022181379277262164,-0.0146684390599041,0.017910473834526274,0.005265656250930704,0.004509924092038401
OCCP_2digit_81,-0.005411950477959723,0.005071037990912273,-0.009184610476322061,-0.0013806365767074684,0.0021992839529436127,0.01154549773128062,0.011723784445021434,-0.007973607077610313,-0.007482468552658223,0.007063505868426437
OCCP_2digit_82,-0.00701273444363148,-0.017926042734259833,0.009265869948089896,-0.022688259035725692,0.04225885767579086,-0.01445467106246501,0.004908274759426005,-0.012717834501039136,0.012086406320581479,-0.014112910942377689
OCCP_2digit_83,0.008211421514342546,-0.011898360586575235,0.02844819307875675,-0.0009466680135609387,-0.02392782769528163,0.00014395925197155016,-0.00766914393990561,-0.010830401567348531,0.0028354001744127165,-0.013463223227403705
OCCP_2digit_84,-0.0007774301659820619,-0.004103756452483156,-0.0017911355257448686,-0.011245945359693088,-0.00606185826007232,0.016221246754052454,0.009471519628656751,-0.01120377804251888,-0.0028838503221841785,-0.009171911743656596
OCCP_2digit_85,-0.007293147578158036,0.004316904442337242,-0.0005524123821768162,-0.0017977107703630267,0.0027135410546501424,0.0034264514698582674,0.012139053857717642,-7.44855264223755e-05,0.003429835216520702,-0.005825350473742536
OCCP_2digit_86,-0.014557541499050022,0.0076033788206130316,0.003796337383806091,0.006173204663355125,-0.011243716578359951,-0.023145126640960825,-0.005154465735519683,0.014888955220660876,0.0006011544563177088,0.022854580956367387
OCCP_2digit_87,-0.006420151882495561,-0.0035706332592747828,-0.003928051081266834,-0.0016326809794984817,0.01837656850129527,-0.015864731053717194,-0.002608405207441474,-0.0012368789037986128,0.0025168997858920354,0.0027259230863455846
OCCP_2digit_88,-0.00015711379360021808,-0.005650661715089304,0.01938777847152712,0.00938439746899264,-0.0012067135278631012,0.004415786412750833,-0.004282029146608496,-0.003441122375885656,0.003242247496297483,0.0022048881675710546
OCCP_2digit_89,-0.008488421458947447,-0.02289606239397227,0.0005673853982976831,-0.0312311442227627,0.006637061610138078,0.0013766657476527687,-0.008212770928270184,0.005659554857529596,-0.006635367834298932,-0.0012285329227411468
OCCP_2digit_90,-0.007840628523346941,-0.0035583585740380378,-0.004616761769617921,-0.010131522340975432,-0.021452056570724024,-0.01161749293953816,-0.0037333817769808044,0.00041222742054567173,0.05280206227328272,0.0016232009956418116
OCCP_2digit_91,-0.0027535098507187592,-0.003569827684167731,-0.0074637313553091765,-0.00936463099713198,-0.0034084971760348637,-0.013113229328100433,0.007604983848828422,0.0166034415834504,-0.005640472497517013,0.025275311890223234
OCCP_2digit_92,-0.007638984059946645,0.012730821660666308,-0.0009504103441601455,0.0031329193469375616,-0.002794378058076411,-0.012253419584711926,0.0015544707187076289,-0.005575854727459127,0.00894020155777536,0.011305700005025692
OCCP_2digit_93,0.005618532874935704,-0.027339378765586786,-0.0012364761472614155,0.016726699594243624,0.003759385056000266,0.012538949187423026,0.01706909498794768,0.0022562375181558966,0.007783107740809766,0.006372679851799183
OCCP_2digit_94,-0.0035441621939636485,-0.037801563207812895,-0.04150122035370101,0.028577357506895808,-0.01751999639153676,-0.015250099975919067,-0.009351536898537228,0.003947318439915045,0.02360137345942338,0.011624397778533005
OCCP_2digit_95,-0.008461874342248134,0.004132433021958301,-0.0018648381089267701,0.0011035266963856263,-0.0032848403920294755,-0.009977141530022614,-0.010129647173876185,0.004262198655356212,0.0002122840473042408,0.010021821621685634
OCCP_2digit_96,0.011462898613606137,-0.025030767431268103,-0.014801552641165063,-0.016738291417261384,0.019822093826508264,0.03535362952241539,0.02479974241741031,-0.017857289292940327,0.008727157068375724,-0.012573266359130503
OCCP_2digit_97,0.00042292723939397515,-0.0010701596774182274,0.0021465686308989825,-0.015779291163044638,-0.010776169292030935,0.006261544049694046,0.022689177091855937,0.00527811141231114,-0.012277801302539405,0.005443882260669457
OCCP_2digit_98,-0.018853406773671817,-0.032137712473459916,-0.006086538967946828,-0.11082317276759952,-0.11889223482778423,-0.008948667581309851,-0.026236752822423628,-0.05740819797198853,0.2647225339348836,-0.053468124566217815
OCCP_2digit_99,0.015641783193807924,-0.007503448900483774,0.012106043823965002,-0.007458558783080655,0.011086927613466472,0.08493023921548634,-0.021984623859515707,-0.06057593560006863,0.0952945362821033,0.3919266032732699
INDP_2digit_02,-0.007746631547513842,0.004274152558047334,-0.001698130729650256,-0.003534592388884414,0.0008933424803824802,0.001467209804569745,0.00024533629662165164,0.008495821666734165,-0.008975785251655233,0.009859041516538134
INDP_2digit_03,-0.014213627052158386,0.00740181359217985,-0.008370699251857494,0.0066913910692107175,-0.004756091272107439,-0.01802671142999231,0.006975355742132568,0.007502628572196968,-0.006550030380031791,0.01161335870512327
INDP_2digit_04,-0.01841636754235003,0.00192797806762787,0.004170402189231549,-0.006697760719515209,-0.011432782353391088,-0.03145132870070854,-0.0015242159204189676,0.003448804472923184,-0.008382527262900596,0.02821104016883586
INDP_2digit_05,-0.01840746765337361,0.02360880560805728,0.000570952535551862,0.01382335023288598,-0.0105519592351203,-0.03544163996180565,-0.0010043836999874794,0.0017030972948598726,-0.0022021789646146086,0.011996556489944667
INDP_2digit_06,-0.012067566480880436,0.001921764597546202,0.006151845487000458,0.004688319720979603,-0.004787405329374693,-0.0045806849334636525,0.001835498590588108,0.01486527770786269,-0.006268295320017232,0.009140370541822122
INDP_2digit_07,-0.008651840306655877,-0.009988199925202706,-0.0347517498148418,0.011973045739563244,-0.009220118601869247,-0.017901135045547273,0.021275228336681676,-0.02150108645579151,-0.02519598339445166,0.030116029781445543
INDP_2digit_10,-0.011017699019407466,0.0034895584213892514,-0.006111467338790917,0.00246189020508146,0.002789497625820776,-0.004258187275285873,0.0018502124385657434,0.007257423391673684,-0.0065892915210813835,0.00761141303774685
INDP_2digit_11,-0.002190035101113985,-0.002257218942163602,0.020274507558975835,0.0027005990611730212,-0.012730713132781207,-0.005550465205774675,0.0067050291436467095,0.018263802241707493,0.0061088927907992484,-0.003109562205825059
INDP_2digit_12,-0.004615562048258772,0.003818010319707258,-0.002063981665040033,-0.0012509638189264081,0.003980574571836363,0.0033406772790920453,-0.007506752365873128,0.0032611883083915926,-0.003984302820516969,0.00155552754117283
INDP_2digit_15,0.013088703886773318,0.005381978583030095,-0.0016035619578147317,-0.0033525728634798218,-0.006271765100528425,-0.01164434156934865,0.009559028872060298,0.020329911718701046,-8.976858835766749e-05,-0.0009004461478787671
INDP_2digit_16,0.005278632331398125,-0.017383065669840395,0.03190538765920988,-0.0014240880528169936,-0.024101883594948456,0.0013956935985769468,-0.005218316176248152,-0.018474546283340984,0.007769917536807469,-0.017908559124366456
INDP_2digit_17,0.004607803804862271,0.007619845327308107,0.00033510167381172444,0.0020963172994242023,-0.00023585193110726188,-0.0014216317789459134,0.001958497725999406,-0.0009385150818553707,0.006551241394475519,0.01119595891941967
INDP_2digit_19,-0.005126142098257682,0.003387917304690846,-7.51496099756986e-05,0.0008289210195156877,0.0037955417250278064,-0.001949741673444401,0.0001161277391084524,-0.0020572149799380148,-0.0016773502491583157,-0.002486708768233954
INDP_2digit_20,-0.012489625388751724,0.010877147774885796,0.00029993579986303673,0.004069517579030245,-0.010348815529249497,-0.02585512445022792,-0.0020299322224420348,0.011058387407575561,0.00021450062746586926,0.0147468910410849
INDP_2digit_21,-0.005327369562179947,-0.011609066728813537,0.004514379252875395,-0.012148723768080526,0.02901128553479603,-0.013994210098498713,-0.0037679543738880516,-0.0022312914417261455,0.0030868267754681896,-0.0038322138297719136
INDP_2digit_22,-0.013856014603014482,0.000500190612029281,-0.004814136698764797,-0.002191218702801582,0.002196619850804148,-0.0030831242423681785,-0.020276636296062862,0.009204095952824022,-0.007423267210957589,0.016979164235029997
