medicaid_only,POVPIP,PINCP,PERNP,OCCP_2digit,WAGP,INDP_2digit,ESR,ANC1P,WKL,SCHL,RELSHIPP,MSP,WRK,DIS,MAR,HIMRKS,DREM,RAC3P,DOUT,RAC2P,NWLK,SSIP,NWLA,DPHY,RAC1P,DDRS,RACAIAN,NWAB,MARHYP,RACWHT,ANC2P,COW,WAOB,WKHP,SSP,POBP,WKWN,PWGTP,INTP,PUMA,MIG,ANC,DEYE,NWRE,PAP,MARHM,NWAV,DEAR,MIL,HISP,AGEP
0,379.0,8900.0,8900.0,47,8900.0,52,6.0,50,1.0,19.0,38,6.0,2.0,2,5,0,2.0,1,2.0,1000,2.0,0.0,2.0,2.0,1,2.0,0,2.0,1995.0,1,210,1.0,1,25.0,0.0,6,40.0,21,0.0,400,3.0,2,2,3.0,0.0,2.0,5.0,2,4.0,2,20
0,379.0,5500.0,5500.0,27,5500.0,78,1.0,999,1.0,18.0,38,6.0,1.0,2,5,2,2.0,1,2.0,1000,3.0,0.0,3.0,2.0,1,2.0,0,3.0,1995.0,1,999,4.0,1,35.0,0.0,56,20.0,126,0.0,300,3.0,4,2,3.0,0.0,2.0,5.0,2,4.0,1,21
0,379.0,4500.0,4500.0,39,4500.0,85,1.0,32,1.0,19.0,38,6.0,1.0,2,5,0,2.0,1,2.0,1000,3.0,0.0,3.0,2.0,1,2.0,0,3.0,1995.0,1,999,3.0,1,20.0,0.0,27,15.0,99,0.0,600,3.0,1,2,3.0,0.0,2.0,5.0,2,4.0,1,18
0,379.0,10000.0,10000.0,39,10000.0,85,6.0,999,1.0,19.0,38,6.0,1.0,2,5,0,2.0,1,2.0,1000,3.0,0.0,3.0,2.0,1,2.0,0,3.0,1995.0,1,999,3.0,1,40.0,0.0,38,20.0,69,0.0,600,1.0,4,2,3.0,0.0,2.0,5.0,2,3.0,1,21
0,176.0,27500.0,27500.0,62,0.0,01,1.0,3,1.0,14.0,38,2.0,1.0,2,1,0,2.0,1,2.0,1000,3.0,0.0,3.0,2.0,1,2.0,0,3.0,2015.0,1,32,6.0,1,40.0,0.0,46,52.0,85,0.0,200,1.0,2,2,3.0,0.0,2.0,5.0,2,4.0,1,33
0,379.0,6500.0,6500.0,60,6500.0,01,3.0,999,1.0,19.0,38,6.0,1.0,2,5,0,2.0,1,2.0,1000,3.0,0.0,3.0,2.0,1,2.0,0,3.0,1995.0,1,999,1.0,1,40.0,0.0,27,26.0,29,0.0,400,3.0,4,2,3.0,0.0,2.0,5.0,2,4.0,1,21
0,379.0,17000.0,17000.0,34,17000.0,81,6.0,82,1.0,19.0,38,6.0,2.0,2,5,0,2.0,1,2.0,1000,2.0,0.0,2.0,2.0,1,2.0,0,2.0,1995.0,1,999,1.0,1,16.0,0.0,27,48.0,12,0.0,500,1.0,1,2,3.0,0.0,2.0,5.0,2,4.0,1,20
0,379.0,8000.0,8000.0,41,8000.0,86,6.0,999,1.0,19.0,38,6.0,1.0,2,5,0,2.0,1,2.0,1000,3.0,0.0,3.0,2.0,1,2.0,0,3.0,1995.0,1,999,1.0,1,15.0,0.0,17,35.0,12,0.0,500,3.0,4,2,3.0,0.0,2.0,5.0,2,4.0,24,21
0,379.0,8000.0,8000.0,41,8000.0,86,6.0,22,1.0,16.0,38,6.0,2.0,2,5,0,2.0,29,2.0,9000,2.0,0.0,2.0,2.0,9,2.0,0,2.0,1995.0,1,918,1.0,7,15.0,0.0,301,35.0,162,0.0,400,2.0,2,2,3.0,0.0,2.0,5.0,2,4.0,1,21
0,379.0,8000.0,8000.0,42,8000.0,78,1.0,50,1.0,19.0,38,6.0,1.0,2,5,0,2.0,1,2.0,1000,3.0,0.0,3.0,2.0,1,2.0,0,3.0,1995.0,1,999,4.0,1,20.0,0.0,17,42.0,12,0.0,500,1.0,1,2,3.0,0.0,2.0,5.0,2,4.0,1,20
1,379.0,14800.0,14800.0,55,14800.0,61,6.0,111,1.0,18.0,37,6.0,1.0,2,5,0,2.0,17,2.0,9000,3.0,0.0,3.0,2.0,9,2.0,1,3.0,1995.0,1,148,1.0,1,25.0,0.0,38,40.0,47,0.0,300,3.0,2,2,3.0,0.0,2.0,5.0,2,4.0,1,30
0,379.0,4000.0,4000.0,47,4000.0,52,1.0,999,1.0,19.0,38,6.0,1.0,2,5,2,2.0,1,2.0,1000,3.0,0.0,3.0,2.0,1,2.0,0,3.0,1995.0,1,999,1.0,1,20.0,0.0,38,44.0,7,0.0,500,3.0,4,2,3.0,0.0,2.0,5.0,2,4.0,1,19
1,0.0,0.0,0.0,42,0.0,69,6.0,998,3.0,18.0,38,6.0,2.0,2,5,0,2.0,1,2.0,1000,2.0,0.0,2.0,2.0,1,2.0,0,2.0,1995.0,1,999,1.0,1,40.0,0.0,34,52.0,33,0.0,500,1.0,1,2,3.0,0.0,2.0,5.0,2,4.0,1,47
1,379.0,12000.0,6000.0,41,6000.0,86,6.0,920,1.0,16.0,37,5.0,1.0,2,4,0,2.0,3,2.0,5013,3.0,6000.0,3.0,2.0,3,2.0,1,3.0,2003.0,0,999,1.0,1,56.0,0.0,46,12.0,64,0.0,300,3.0,1,2,3.0,0.0,2.0,5.0,2,4.0,1,41
0,379.0,5000.0,5000.0,36,5000.0,82,1.0,999,1.0,19.0,38,6.0,1.0,2,5,0,2.0,1,2.0,1000,3.0,0.0,3.0,2.0,1,2.0,0,3.0,1995.0,1,999,1.0,1,35.0,0.0,27,40.0,147,0.0,400,1.0,4,2,3.0,0.0,2.0,5.0,2,4.0,1,19
1,379.0,30000.0,30000.0,62,30000.0,07,6.0,920,1.0,16.0,37,6.0,1.0,2,5,0,2.0,3,2.0,5025,3.0,0.0,3.0,2.0,5,2.0,1,3.0,1995.0,0,999,1.0,1,44.0,0.0,38,28.0,12,0.0,500,3.0,1,2,3.0,0.0,2.0,5.0,2,4.0,1,31
1,379.0,0.0,0.0,42,0.0,69,6.0,999,3.0,16.0,37,6.0,1.0,2,5,0,2.0,1,2.0,1000,3.0,0.0,3.0,2.0,1,2.0,0,3.0,1995.0,1,999,1.0,1,40.0,0.0,38,52.0,15,0.0,400,3.0,4,2,3.0,0.0,2.0,5.0,2,4.0,1,64
0,379.0,3300.0,0.0,99,0.0,99,3.0,999,3.0,18.0,38,6.0,1.0,2,5,0,2.0,1,2.0,1000,3.0,0.0,3.0,2.0,1,2.0,0,3.0,1995.0,1,999,9.0,1,40.0,0.0,27,52.0,45,0.0,600,3.0,4,2,3.0,0.0,2.0,5.0,2,4.0,1,18
1,379.0,10000.0,10000.0,39,10000.0,85,6.0,917,1.0,18.0,38,6.0,2.0,2,5,0,2.0,3,2.0,5007,2.0,0.0,2.0,2.0,3,2.0,1,2.0,1995.0,0,999,3.0,1,40.0,0.0,46,20.0,7,0.0,300,3.0,1,2,3.0,0.0,2.0,5.0,2,4.0,1,24
0,379.0,12200.0,12200.0,41,12200.0,86,1.0,32,1.0,19.0,38,6.0,1.0,2,5,0,2.0,1,2.0,1000,3.0,0.0,3.0,2.0,1,2.0,0,3.0,1995.0,1,999,1.0,1,15.0,0.0,38,52.0,714,0.0,500,1.0,1,2,3.0,0.0,2.0,5.0,2,4.0,1,19
0,379.0,48000.0,48000.0,45,48000.0,86,6.0,308,1.0,18.0,37,6.0,1.0,2,5,0,2.0,2,2.0,3000,3.0,0.0,3.0,2.0,2,2.0,0,3.0,1995.0,0,999,1.0,1,30.0,0.0,12,52.0,31,0.0,200,3.0,1,2,3.0,0.0,2.0,5.0,2,4.0,1,35
0,379.0,5110.0,5100.0,40,5100.0,86,1.0,32,1.0,18.0,38,6.0,1.0,2,5,0,2.0,1,2.0,1000,3.0,0.0,3.0,2.0,1,2.0,0,3.0,1995.0,1,82,1.0,1,12.0,0.0,38,47.0,203,10.0,600,3.0,2,2,3.0,0.0,2.0,5.0,2,4.0,1,18
1,379.0,6000.0,6000.0,60,6000.0,01,6.0,999,1.0,16.0,38,6.0,1.0,2,5,0,2.0,1,2.0,1000,3.0,0.0,3.0,2.0,1,2.0,0,3.0,1995.0,1,999,1.0,1,40.0,0.0,38,28.0,84,0.0,400,3.0,4,2,3.0,0.0,2.0,5.0,2,4.0,1,19
0,379.0,0.0,0.0,53,0.0,86,6.0,49,2.0,18.0,38,6.0,2.0,2,5,0,2.0,1,2.0,1000,2.0,0.0,2.0,2.0,1,2.0,0,2.0,1995.0,1,999,1.0,1,40.0,0.0,26,52.0,145,0.0,500,3.0,1,2,3.0,0.0,2.0,5.0,2,4.0,1,18
0,379.0,7600.0,7600.0,40,7600.0,86,1.0,32,1.0,19.0,38,6.0,1.0,2,5,0,2.0,1,2.0,1000,2.0,0.0,2.0,2.0,1,2.0,0,3.0,1995.0,1,50,1.0,1,15.0,0.0,21,46.0,29,0.0,300,1.0,2,2,2.0,0.0,2.0,3.0,2,4.0,1,22
0,379.0,8000.0,8000.0,15,8000.0,72,6.0,999,1.0,18.0,38,6.0,1.0,2,5,0,2.0,1,2.0,1000,3.0,0.0,3.0,2.0,1,2.0,0,3.0,1995.0,1,999,1.0,1,50.0,0.0,27,12.0,71,0.0,600,3.0,4,2,3.0,0.0,2.0,5.0,2,4.0,1,19
0,379.0,7000.0,7000.0,40,7000.0,85,1.0,999,1.0,18.0,38,6.0,1.0,2,5,0,2.0,1,2.0,1000,3.0,0.0,3.0,2.0,1,2.0,0,3.0,1995.0,1,999,1.0,1,20.0,0.0,38,52.0,102,0.0,600,3.0,4,2,3.0,0.0,2.0,5.0,2,4.0,1,19
0,379.0,0.0,0.0,42,0.0,69,6.0,999,3.0,19.0,37,6.0,1.0,2,5,1,2.0,1,2.0,1000,3.0,0.0,3.0,2.0,1,2.0,0,3.0,1995.0,1,999,1.0,1,40.0,0.0,39,52.0,7,0.0,500,1.0,4,2,3.0,0.0,2.0,5.0,2,4.0,1,19
0,379.0,5500.0,5500.0,27,5500.0,78,1.0,999,1.0,18.0,38,6.0,1.0,2,5,2,2.0,1,2.0,1000,3.0,0.0,3.0,2.0,1,2.0,0,3.0,1995.0,1,999,4.0,1,35.0,0.0,56,20.0,35,0.0,300,3.0,4,2,3.0,0.0,2.0,5.0,2,4.0,1,21
0,379.0,0.0,0.0,42,0.0,69,6.0,999,3.0,19.0,38,6.0,1.0,2,5,0,2.0,1,2.0,1000,3.0,0.0,3.0,2.0,1,2.0,0,3.0,1995.0,1,999,1.0,1,40.0,0.0,27,52.0,23,0.0,300,1.0,4,2,3.0,0.0,2.0,5.0,2,4.0,1,21
0,379.0,3000.0,3000.0,96,3000.0,49,6.0,999,1.0,19.0,38,6.0,1.0,2,5,2,2.0,1,2.0,1000,3.0,0.0,3.0,2.0,1,2.0,0,3.0,1995.0,1,999,3.0,1,30.0,0.0,27,12.0,35,0.0,600,1.0,4,2,3.0,0.0,2.0,5.0,2,4.0,1,22
1,379.0,1100.0,1100.0,20,1100.0,94,6.0,82,1.0,19.0,37,4.0,1.0,2,3,0,2.0,1,2.0,1000,3.0,0.0,3.0,2.0,1,2.0,0,3.0,2009.0,1,999,3.0,1,5.0,0.0,38,52.0,62,0.0,300,1.0,1,2,3.0,0.0,2.0,5.0,2,4.0,1,42
0,379.0,50000.0,50000.0,62,50000.0,07,6.0,999,1.0,16.0,37,6.0,1.0,2,5,0,2.0,1,2.0,1000,3.0,0.0,3.0,2.0,1,2.0,0,3.0,1995.0,1,999,1.0,1,40.0,0.0,38,52.0,45,0.0,500,3.0,4,2,3.0,0.0,2.0,5.0,2,4.0,1,34
1,379.0,5400.0,0.0,42,0.0,69,6.0,169,3.0,18.0,37,6.0,1.0,2,5,0,2.0,10,2.0,4024,3.0,5400.0,3.0,2.0,6,2.0,0,3.0,1995.0,0,999,1.0,2,40.0,0.0,78,52.0,53,0.0,300,1.0,1,2,3.0,0.0,2.0,5.0,2,4.0,1,34
0,379.0,6000.0,6000.0,36,6000.0,82,1.0,32,1.0,18.0,38,6.0,1.0,2,5,0,2.0,1,2.0,1000,3.0,0.0,3.0,2.0,1,2.0,0,3.0,1995.0,1,999,1.0,1,25.0,0.0,27,26.0,54,0.0,600,3.0,1,2,3.0,0.0,2.0,5.0,2,4.0,1,18
0,379.0,0.0,0.0,42,0.0,69,6.0,999,3.0,16.0,37,6.0,1.0,2,5,0,2.0,1,2.0,1000,3.0,0.0,3.0,2.0,1,2.0,0,3.0,1995.0,1,999,1.0,1,40.0,0.0,38,52.0,63,0.0,600,3.0,4,2,3.0,0.0,2.0,5.0,2,4.0,1,29
0,379.0,27100.0,27100.0,38,27100.0,96,4.0,235,1.0,16.0,38,6.0,1.0,2,5,0,2.0,1,2.0,1000,2.0,0.0,3.0,2.0,1,2.0,0,3.0,1995.0,1,51,5.0,1,60.0,0.0,50,52.0,175,0.0,500,1.0,2,2,3.0,0.0,2.0,5.0,2,1.0,17,21
0,379.0,10000.0,10000.0,39,10000.0,85,6.0,999,1.0,19.0,38,6.0,1.0,2,5,0,2.0,1,2.0,1000,3.0,0.0,3.0,2.0,1,2.0,0,3.0,1995.0,1,999,3.0,1,40.0,0.0,38,20.0,120,0.0,600,1.0,4,2,3.0,0.0,2.0,5.0,2,3.0,1,21
0,379.0,16500.0,16500.0,13,16500.0,07,6.0,999,1.0,18.0,38,6.0,1.0,2,5,0,2.0,1,2.0,1000,3.0,0.0,3.0,2.0,1,2.0,0,3.0,1995.0,1,999,1.0,1,40.0,0.0,30,12.0,72,0.0,200,3.0,4,2,3.0,0.0,2.0,5.0,2,4.0,1,20
1,379.0,300.0,300.0,43,300.0,93,6.0,917,1.0,17.0,37,6.0,1.0,2,5,0,2.0,3,2.0,5013,3.0,0.0,3.0,2.0,3,2.0,1,3.0,1995.0,0,999,3.0,1,56.0,0.0,46,4.0,45,0.0,300,3.0,1,2,3.0,0.0,2.0,5.0,2,4.0,1,29
0,379.0,2000.0,2000.0,47,2000.0,55,1.0,142,1.0,19.0,38,6.0,1.0,2,5,0,2.0,1,2.0,1000,3.0,0.0,3.0,2.0,1,2.0,0,3.0,1995.0,1,32,1.0,1,25.0,0.0,38,20.0,49,0.0,300,1.0,2,2,3.0,0.0,2.0,5.0,2,4.0,1,21
0,379.0,28000.0,28000.0,62,28000.0,07,6.0,999,1.0,16.0,37,6.0,1.0,2,5,0,2.0,1,2.0,1000,3.0,0.0,3.0,2.0,1,2.0,0,3.0,1995.0,1,999,1.0,1,44.0,0.0,38,28.0,63,0.0,600,3.0,4,2,3.0,0.0,2.0,5.0,2,4.0,1,38
0,379.0,15000.0,15000.0,60,15000.0,01,1.0,32,1.0,18.0,38,6.0,1.0,2,5,0,2.0,1,2.0,1000,3.0,0.0,3.0,2.0,1,2.0,0,3.0,1995.0,1,148,1.0,1,50.0,0.0,38,52.0,78,0.0,400,3.0,2,2,3.0,0.0,2.0,5.0,2,4.0,1,19
1,189.0,28800.0,28800.0,94,28800.0,87,1.0,920,1.0,12.0,38,2.0,1.0,2,1,0,2.0,3,2.0,5025,3.0,0.0,3.0,2.0,5,2.0,1,3.0,2014.0,0,999,1.0,1,40.0,0.0,38,28.0,19,0.0,400,3.0,1,2,3.0,0.0,2.0,5.0,2,4.0,1,39
0,501.0,145000.0,145000.0,81,0.0,01,1.0,3,1.0,13.0,38,6.0,1.0,2,5,0,2.0,1,2.0,1000,3.0,0.0,3.0,2.0,1,2.0,0,3.0,1995.0,1,32,6.0,1,40.0,0.0,46,52.0,71,0.0,200,1.0,2,2,3.0,0.0,2.0,5.0,2,4.0,1,27
0,379.0,17200.0,17200.0,03,17200.0,86,6.0,920,1.0,17.0,37,6.0,1.0,2,5,0,2.0,3,2.0,5013,3.0,0.0,3.0,2.0,3,2.0,1,3.0,1995.0,0,999,1.0,1,60.0,0.0,38,8.0,141,0.0,300,3.0,1,2,3.0,0.0,2.0,5.0,2,4.0,1,26
0,115.0,18000.0,18000.0,96,18000.0,26,1.0,32,1.0,11.0,38,2.0,1.0,2,1,0,2.0,1,2.0,1000,3.0,0.0,3.0,2.0,1,2.0,0,3.0,1996.0,1,999,8.0,1,40.0,0.0,46,52.0,224,0.0,200,1.0,1,2,3.0,0.0,2.0,5.0,2,4.0,1,51
0,379.0,1500.0,1500.0,41,1500.0,86,6.0,51,1.0,18.0,38,6.0,2.0,2,5,0,2.0,1,2.0,1000,2.0,0.0,2.0,2.0,1,2.0,0,2.0,1995.0,1,999,1.0,1,15.0,0.0,26,12.0,186,0.0,500,3.0,1,2,3.0,0.0,2.0,5.0,2,4.0,1,19
1,27.0,4300.0,0.0,42,0.0,69,6.0,999,3.0,16.0,38,6.0,2.0,1,5,0,2.0,1,1.0,1000,2.0,4300.0,2.0,1.0,1,1.0,0,2.0,1995.0,1,999,1.0,1,40.0,0.0,38,52.0,29,0.0,300,1.0,4,1,3.0,0.0,2.0,5.0,2,4.0,1,32
0,379.0,28850.0,28500.0,15,28500.0,30,1.0,999,1.0,19.0,38,6.0,1.0,2,5,0,2.0,1,2.0,1000,3.0,0.0,3.0,2.0,1,2.0,0,3.0,1995.0,1,999,1.0,1,30.0,0.0,27,46.0,47,350.0,600,1.0,4,2,3.0,0.0,2.0,5.0,2,4.0,1,20
