,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
poverty_band_138-200%,0.054704074231463694,-0.09173540469452951,-0.011202487143296282,0.023553380833587184,-0.20772434426443945,0.4189148427299315,-0.17580244203678266,0.01266341180272242,-0.04594312045103617,-0.04408297047230442
poverty_band_200-400%,0.16728370905462916,-0.058933419929161956,-0.044210182043199764,0.5234025079248177,0.06814072632093239,-0.23969037944884486,0.12939285032150374,-0.08616060310686094,-0.05115964196572099,-0.01263435222307089
poverty_band_>400%,-0.25739741607499933,0.21695418638489983,0.10260410463921539,-0.4258811509404745,0.09333051907305834,-0.06590309917785749,-0.01784810450919808,0.050214456716639114,0.08088047909609354,0.04165414283823422
employment_status_simple_Not_in_labor_force,0.07776835024426167,-0.3482234482472104,-0.27779326769087753,-0.11803219724057962,-0.05844723818441845,0.06117532722812588,0.40691349999364085,-0.0178550616087583,0.16744936421159218,-0.0047338841229533895
employment_status_simple_Unemployed,0.056996945168978,-0.00800899267419254,0.03897103603034533,-0.006881231395013462,0.03275392635815463,0.10209595976118166,-0.07573977838368612,-0.21590891285669853,-0.25775292270645705,0.5511773560964048
employer_type_Private,0.11906972675626358,0.19558961072093156,-0.4196501434552284,-0.08651034659509954,-0.011169206197334603,0.020063880569303104,0.05814471372085271,-0.06829277330052327,0.09312862992513435,-0.0956099731949711
employer_type_Self_employed,-0.12026716337726924,-0.359010794767253,0.4477554272689889,0.009281675766264832,0.00832908232788513,-0.08286485033696472,-0.1124135719671904,0.016790171199767348,-0.0031601745286193874,-0.08257735890877844
employer_type_Unpaid,0.018497438458901453,-0.04728340860671154,0.027286133841426405,0.016939876311033004,0.05365809015277915,0.11216208146802717,0.011768253895983231,-0.20886849885524675,-0.30196037712755297,0.5833695006839507
age_group_26-35,0.09867478208928193,0.11309555005278349,0.15841943070686174,0.07083999161248745,-0.29645228171855775,-0.058702970331158635,-0.0945727845973865,0.17181255809869309,0.5631869784846708,0.33255175537989723
age_group_36-45,-0.06772163048667267,0.10824341221968711,0.1402044446923307,0.11730813367725476,-0.2215977368837545,0.026367923887210157,0.33936956593104817,0.03629710995744466,-0.5477376377601665,-0.2901558623042725
age_group_46-55,-0.11227779528543469,0.03644770438500909,0.007148608705608196,-0.034399612699411025,0.16853342231302185,0.12393686346950386,-0.1443835395291594,-0.49491775427685936,0.11378573668636928,-0.12960342174325232
age_group_56-65,-0.20393228576098643,-0.2301577441728916,-0.3374020100023381,-0.0895911442067167,0.24838298166532324,-0.11597230408261323,-0.19101270350446167,0.26015209791050975,-0.06355365303995024,0.10734590002848735
marital_status_simple_Married,-0.4020856319623957,0.0653253354633609,0.018820491586466332,0.19338013022398026,-0.13971566018075518,0.10410560223648846,0.13358755573551254,-0.04190794518211081,0.11483963999025248,0.08844820071893537
marital_status_simple_Never_married,0.42818353872138665,-0.013223815821424538,0.07212266816202671,-0.20728068171796307,0.08325241581224306,-0.10872227375260997,-0.07567770318331564,0.03727324084839944,-0.047664888995415385,-0.04612686813573127
education_level_Graduate,-0.087606302862732,0.15758058110770895,0.08439535761886927,-0.09900953782210561,-0.18934599810098823,-0.015374453423510683,0.19040156097191904,0.09628630462514537,-0.04336597947425812,0.06586177047382402
education_level_HS_diploma,0.04563133272410414,-0.14664137329445884,-0.20771426123744055,-0.039351430656563754,-0.37186117799066915,-0.35133107112508316,-0.2807759377170452,-0.035871264504132756,-0.14837345938820232,0.01845361498444151
education_level_Less_than_HS,0.07115243503882598,-0.10097904829781185,-0.06435866938124864,-0.10058947832405832,-0.10379441611220123,0.11774037937407492,0.15910882551386932,-0.13850364190230274,-0.005718436408447576,0.03269473785290399
education_level_Some_college,0.04020520176505302,0.0278993197511192,0.11448374629408183,0.14258438001551596,0.5500655775223193,0.2703745630721821,0.043125687226688296,0.04065685805278688,0.13182195451437376,-0.09419758030539085
