WAGP,POVPIP,SEMP,income_group,income_source_count,poverty_band,has_wage_income,has_self_employment,ESR,COW,WKL,OCCP_2digit,INDP_2digit,employment_status_simple,employer_type,AGEP,SEX,MAR,MIG,NATIVITY,RAC1P,HISP,age_group,marital_status_simple,SCHL,SCH,education_level,currently_enrolled,DIS,DEAR,DEYE,DPHY,has_any_disability,STATE,PUMA,REGION,DIVISION,medicaid_only
6000.0,379.0,0.0,Very_Low,2,200-400%,1,0,6.0,1.0,1.0,41,86,Not_in_labor_force,Private,41,1,4,3.0,1,3,1,36-45,Divorced_Separated,16.0,1.0,HS_diploma,0,2,2,2,2.0,0,38,300,2,4,1
5000.0,379.0,0.0,Very_Low,1,200-400%,1,0,1.0,1.0,1.0,36,82,Employed,Private,19,2,5,1.0,1,1,1,18-25,Never_married,19.0,2.0,Some_college,1,2,2,2,2.0,0,38,400,2,4,0
30000.0,379.0,0.0,Low,1,200-400%,1,0,6.0,1.0,1.0,62,07,Not_in_labor_force,Private,31,1,5,3.0,1,5,1,26-35,Never_married,16.0,1.0,HS_diploma,0,2,2,2,2.0,0,38,500,2,4,1
0.0,379.0,0.0,,0,200-400%,0,0,6.0,1.0,3.0,42,69,Not_in_labor_force,Private,64,2,5,3.0,1,1,1,56-65,Never_married,16.0,1.0,HS_diploma,0,2,2,2,2.0,0,38,400,2,4,1
0.0,379.0,0.0,,1,200-400%,0,0,3.0,9.0,3.0,99,99,Unemployed,Unpaid,18,1,5,3.0,1,1,1,18-25,Never_married,18.0,2.0,Some_college,1,2,2,2,2.0,0,38,600,2,4,0
10000.0,379.0,0.0,Very_Low,1,200-400%,1,0,6.0,3.0,1.0,39,85,Not_in_labor_force,Government,24,1,5,3.0,1,3,1,18-25,Never_married,18.0,2.0,Some_college,1,2,2,2,2.0,0,38,300,2,4,1
12200.0,379.0,0.0,Very_Low,1,200-400%,1,0,1.0,1.0,1.0,41,86,Employed,Private,19,2,5,1.0,1,1,1,18-25,Never_married,19.0,2.0,Some_college,1,2,2,2,2.0,0,38,500,2,4,0
48000.0,379.0,0.0,Medium,1,200-400%,1,0,6.0,1.0,1.0,45,86,Not_in_labor_force,Private,35,1,5,3.0,1,2,1,26-35,Never_married,18.0,1.0,Some_college,0,2,2,2,2.0,0,38,200,2,4,0
5100.0,379.0,0.0,Very_Low,2,200-400%,1,0,1.0,1.0,1.0,40,86,Employed,Private,18,2,5,3.0,1,1,1,18-25,Never_married,18.0,2.0,Some_college,1,2,2,2,2.0,0,38,600,2,4,0
6000.0,379.0,0.0,Very_Low,1,200-400%,1,0,6.0,1.0,1.0,60,01,Not_in_labor_force,Private,19,1,5,3.0,1,1,1,18-25,Never_married,16.0,2.0,HS_diploma,1,2,2,2,2.0,0,38,400,2,4,1
0.0,379.0,0.0,,0,200-400%,0,0,6.0,1.0,2.0,53,86,Not_in_labor_force,Private,18,1,5,3.0,1,1,1,18-25,Never_married,18.0,2.0,Some_college,1,2,2,2,2.0,0,38,500,2,4,0
7600.0,379.0,0.0,Very_Low,1,200-400%,1,0,1.0,1.0,1.0,40,86,Employed,Private,22,1,5,1.0,1,1,1,18-25,Never_married,19.0,3.0,Some_college,1,2,2,2,2.0,0,38,300,2,4,0
8000.0,379.0,0.0,Very_Low,1,200-400%,1,0,6.0,1.0,1.0,15,72,Not_in_labor_force,Private,19,1,5,3.0,1,1,1,18-25,Never_married,18.0,2.0,Some_college,1,2,2,2,2.0,0,38,600,2,4,0
7000.0,379.0,0.0,Very_Low,1,200-400%,1,0,1.0,1.0,1.0,40,85,Employed,Private,19,2,5,3.0,1,1,1,18-25,Never_married,18.0,2.0,Some_college,1,2,2,2,2.0,0,38,600,2,4,0
0.0,379.0,0.0,,0,200-400%,0,0,6.0,1.0,3.0,42,69,Not_in_labor_force,Private,19,1,5,1.0,1,1,1,18-25,Never_married,19.0,2.0,Some_college,1,2,2,2,2.0,0,38,500,2,4,0
5500.0,379.0,0.0,Very_Low,1,200-400%,1,0,1.0,4.0,1.0,27,78,Employed,Government,21,1,5,3.0,1,1,1,18-25,Never_married,18.0,2.0,Some_college,1,2,2,2,2.0,0,38,300,2,4,0
0.0,379.0,0.0,,0,200-400%,0,0,6.0,1.0,3.0,42,69,Not_in_labor_force,Private,21,1,5,1.0,1,1,1,18-25,Never_married,19.0,3.0,Some_college,1,2,2,2,2.0,0,38,300,2,4,0
3000.0,379.0,0.0,Very_Low,1,200-400%,1,0,6.0,3.0,1.0,96,49,Not_in_labor_force,Government,22,1,5,1.0,1,1,1,18-25,Never_married,19.0,2.0,Some_college,1,2,2,2,2.0,0,38,600,2,4,0
1100.0,379.0,0.0,Very_Low,1,200-400%,1,0,6.0,3.0,1.0,20,94,Not_in_labor_force,Government,42,1,3,1.0,1,1,1,36-45,Divorced_Separated,19.0,1.0,Some_college,0,2,2,2,2.0,0,38,300,2,4,1
50000.0,379.0,0.0,Medium,1,200-400%,1,0,6.0,1.0,1.0,62,07,Not_in_labor_force,Private,34,1,5,3.0,1,1,1,26-35,Never_married,16.0,1.0,HS_diploma,0,2,2,2,2.0,0,38,500,2,4,0
0.0,379.0,0.0,,1,200-400%,0,0,6.0,1.0,3.0,42,69,Not_in_labor_force,Private,34,1,5,1.0,1,6,1,26-35,Never_married,18.0,1.0,Some_college,0,2,2,2,2.0,0,38,300,2,4,1
6000.0,379.0,0.0,Very_Low,1,200-400%,1,0,1.0,1.0,1.0,36,82,Employed,Private,18,2,5,3.0,1,1,1,18-25,Never_married,18.0,2.0,Some_college,1,2,2,2,2.0,0,38,600,2,4,0
0.0,379.0,0.0,,0,200-400%,0,0,6.0,1.0,3.0,42,69,Not_in_labor_force,Private,29,1,5,3.0,1,1,1,26-35,Never_married,16.0,1.0,HS_diploma,0,2,2,2,2.0,0,38,600,2,4,0
27100.0,379.0,0.0,Low,1,200-400%,1,0,4.0,5.0,1.0,38,96,Not_in_labor_force,Government,21,1,5,1.0,1,1,17,18-25,Never_married,16.0,1.0,HS_diploma,0,2,2,2,2.0,0,38,500,2,4,0
10000.0,379.0,0.0,Very_Low,1,200-400%,1,0,6.0,3.0,1.0,39,85,Not_in_labor_force,Government,21,1,5,1.0,1,1,1,18-25,Never_married,19.0,2.0,Some_college,1,2,2,2,2.0,0,38,600,2,4,0
16500.0,379.0,0.0,Low,1,200-400%,1,0,6.0,1.0,1.0,13,07,Not_in_labor_force,Private,20,1,5,3.0,1,1,1,18-25,Never_married,18.0,2.0,Some_college,1,2,2,2,2.0,0,38,200,2,4,0
300.0,379.0,0.0,Very_Low,1,200-400%,1,0,6.0,3.0,1.0,43,93,Not_in_labor_force,Government,29,1,5,3.0,1,3,1,26-35,Never_married,17.0,1.0,HS_diploma,0,2,2,2,2.0,0,38,300,2,4,1
2000.0,379.0,0.0,Very_Low,1,200-400%,1,0,1.0,1.0,1.0,47,55,Employed,Private,21,2,5,1.0,1,1,1,18-25,Never_married,19.0,3.0,Some_college,1,2,2,2,2.0,0,38,300,2,4,0
28000.0,379.0,0.0,Low,1,200-400%,1,0,6.0,1.0,1.0,62,07,Not_in_labor_force,Private,38,1,5,3.0,1,1,1,36-45,Never_married,16.0,1.0,HS_diploma,0,2,2,2,2.0,0,38,600,2,4,0
15000.0,379.0,0.0,Very_Low,1,200-400%,1,0,1.0,1.0,1.0,60,01,Employed,Private,19,1,5,3.0,1,1,1,18-25,Never_married,18.0,2.0,Some_college,1,2,2,2,2.0,0,38,400,2,4,0
28800.0,189.0,0.0,Low,1,138-200%,1,0,1.0,1.0,1.0,94,87,Employed,Private,39,1,1,3.0,1,5,1,36-45,Married,12.0,1.0,Less_than_HS,0,2,2,2,2.0,0,38,400,2,4,1
0.0,501.0,145000.0,,1,>400%,0,1,1.0,6.0,1.0,81,01,Employed,Self_employed,27,1,5,1.0,1,1,1,26-35,Never_married,13.0,1.0,Less_than_HS,0,2,2,2,2.0,0,38,200,2,4,0
17200.0,379.0,0.0,Low,1,200-400%,1,0,6.0,1.0,1.0,03,86,Not_in_labor_force,Private,26,1,5,3.0,1,3,1,26-35,Never_married,17.0,2.0,HS_diploma,1,2,2,2,2.0,0,38,300,2,4,0
18000.0,115.0,0.0,Low,1,100-138%,1,0,1.0,8.0,1.0,96,26,Employed,Unpaid,51,1,1,1.0,1,1,1,46-55,Married,11.0,1.0,Less_than_HS,0,2,2,2,2.0,0,38,200,2,4,0
1500.0,379.0,0.0,Very_Low,1,200-400%,1,0,6.0,1.0,1.0,41,86,Not_in_labor_force,Private,19,1,5,3.0,1,1,1,18-25,Never_married,18.0,2.0,Some_college,1,2,2,2,2.0,0,38,500,2,4,0
0.0,27.0,0.0,,1,<100%,0,0,6.0,1.0,3.0,42,69,Not_in_labor_force,Private,32,1,5,1.0,1,1,1,26-35,Never_married,16.0,1.0,HS_diploma,0,1,2,1,1.0,1,38,300,2,4,1
28500.0,379.0,0.0,Low,2,200-400%,1,0,1.0,1.0,1.0,15,30,Employed,Private,20,1,5,1.0,1,1,1,18-25,Never_married,19.0,2.0,Some_college,1,2,2,2,2.0,0,38,600,2,4,0
0.0,379.0,0.0,,0,200-400%,0,0,6.0,1.0,3.0,42,69,Not_in_labor_force,Private,41,1,5,1.0,1,2,1,36-45,Never_married,16.0,1.0,HS_diploma,0,2,2,2,2.0,0,38,400,2,4,1
15000.0,96.0,0.0,Very_Low,1,<100%,1,0,1.0,1.0,1.0,77,35,Employed,Private,31,2,5,1.0,1,3,1,26-35,Never_married,16.0,1.0,HS_diploma,0,2,2,2,2.0,0,38,100,2,4,0
0.0,0.0,0.0,,0,,0,0,6.0,1.0,3.0,42,69,Not_in_labor_force,Private,47,2,5,1.0,1,1,1,46-55,Never_married,16.0,1.0,HS_diploma,0,2,2,2,2.0,0,38,400,2,4,1
0.0,501.0,145000.0,,1,>400%,0,1,1.0,6.0,1.0,81,01,Employed,Self_employed,27,1,5,1.0,1,1,1,26-35,Never_married,16.0,1.0,HS_diploma,0,2,2,2,2.0,0,38,200,2,4,0
20000.0,379.0,0.0,Low,1,200-400%,1,0,1.0,1.0,1.0,41,86,Employed,Private,20,1,5,1.0,1,1,1,18-25,Never_married,19.0,3.0,Some_college,1,2,2,2,2.0,0,38,500,2,4,0
15000.0,379.0,0.0,Very_Low,1,200-400%,1,0,6.0,1.0,1.0,13,07,Not_in_labor_force,Private,20,1,5,3.0,1,1,1,18-25,Never_married,19.0,2.0,Some_college,1,2,2,2,2.0,0,38,400,2,4,0
27000.0,379.0,0.0,Low,1,200-400%,1,0,1.0,4.0,1.0,25,78,Employed,Government,30,1,5,1.0,1,5,1,26-35,Never_married,19.0,2.0,Some_college,1,2,2,2,2.0,0,38,300,2,4,0
0.0,379.0,0.0,,0,200-400%,0,0,6.0,1.0,2.0,89,29,Not_in_labor_force,Private,36,1,5,3.0,1,2,1,36-45,Never_married,17.0,1.0,HS_diploma,0,2,2,2,2.0,0,38,300,2,4,0
3000.0,379.0,0.0,Very_Low,1,200-400%,1,0,1.0,1.0,1.0,47,48,Employed,Private,20,1,5,3.0,1,6,1,18-25,Never_married,19.0,2.0,Some_college,1,2,2,2,2.0,0,38,200,2,4,1
3000.0,379.0,0.0,Very_Low,1,200-400%,1,0,1.0,1.0,1.0,96,48,Employed,Private,20,1,5,1.0,1,1,1,18-25,Never_married,19.0,3.0,Some_college,1,1,2,2,2.0,1,38,300,2,4,0
0.0,54.0,0.0,,1,<100%,0,0,6.0,1.0,3.0,42,69,Not_in_labor_force,Private,58,2,1,1.0,1,1,1,56-65,Married,16.0,1.0,HS_diploma,0,1,2,2,1.0,1,38,600,2,4,1
0.0,45.0,0.0,,1,<100%,0,0,6.0,1.0,3.0,42,69,Not_in_labor_force,Private,61,1,5,3.0,1,1,1,56-65,Never_married,16.0,1.0,HS_diploma,0,1,2,1,2.0,1,38,400,2,4,1
26700.0,379.0,0.0,Low,1,200-400%,1,0,6.0,1.0,1.0,96,61,Not_in_labor_force,Private,29,1,5,3.0,1,3,2,26-35,Never_married,17.0,1.0,HS_diploma,0,1,2,2,2.0,1,38,300,2,4,1
6100.0,379.0,0.0,Very_Low,1,200-400%,1,0,6.0,1.0,1.0,40,86,Not_in_labor_force,Private,18,1,5,3.0,1,1,1,18-25,Never_married,19.0,2.0,Some_college,1,2,2,2,2.0,0,38,500,2,4,0
0.0,379.0,0.0,,2,200-400%,0,0,6.0,1.0,3.0,42,69,Not_in_labor_force,Private,52,1,5,3.0,1,1,1,46-55,Never_married,19.0,1.0,Some_college,0,1,2,2,1.0,1,38,500,2,4,1
10000.0,379.0,0.0,Very_Low,1,200-400%,1,0,4.0,5.0,1.0,98,96,Not_in_labor_force,Government,18,1,5,3.0,1,8,2,18-25,Never_married,16.0,1.0,HS_diploma,0,2,2,2,2.0,0,38,200,2,4,0
4000.0,379.0,0.0,Very_Low,1,200-400%,1,0,6.0,1.0,1.0,41,86,Not_in_labor_force,Private,19,1,5,3.0,1,1,1,18-25,Never_married,18.0,2.0,Some_college,1,2,2,2,2.0,0,38,500,2,4,0
24000.0,379.0,0.0,Low,1,200-400%,1,0,6.0,4.0,1.0,25,94,Not_in_labor_force,Government,38,1,3,1.0,1,2,1,36-45,Divorced_Separated,21.0,3.0,Bachelors,1,2,2,2,2.0,0,38,300,2,4,0
3000.0,379.0,0.0,Very_Low,1,200-400%,1,0,6.0,1.0,1.0,36,82,Not_in_labor_force,Private,21,1,5,1.0,1,1,1,18-25,Never_married,19.0,3.0,Some_college,1,2,2,2,2.0,0,38,400,2,4,0
0.0,379.0,0.0,,1,200-400%,0,0,6.0,1.0,3.0,42,69,Not_in_labor_force,Private,19,1,5,1.0,1,1,1,18-25,Never_married,15.0,2.0,Less_than_HS,1,1,2,2,2.0,1,38,600,2,4,0
5100.0,379.0,0.0,Very_Low,1,200-400%,1,0,3.0,1.0,1.0,42,85,Unemployed,Private,19,1,5,1.0,1,1,1,18-25,Never_married,16.0,2.0,HS_diploma,1,2,2,2,2.0,0,38,300,2,4,0
