Component,Explained_Variance,Cumulative_Variance
85,0.00282339574871968,0.36864405163268954
86,0.00280446041128194,0.3714485120439715
87,0.002802117520259227,0.3742506295642307
88,0.002779486427640882,0.3770301159918716
89,0.0027627913732873742,0.37979290736515897
90,0.002761154260527742,0.3825540616256867
91,0.002748604551856982,0.3853026661775437
92,0.002736497158482025,0.3880391633360257
93,0.002715644976002088,0.3907548083120278
94,0.002713386697802169,0.39346819500983
95,0.002693213317662346,0.39616140832749236
96,0.002673731153787852,0.3988351394812802
97,0.0026668105825757397,0.4015019500638559
98,0.002658653780537562,0.40416060384439345
99,0.002641478986446606,0.4068020828308401
100,0.002635639829461268,0.4094377226603013
101,0.0026178257229469044,0.4120555483832482
102,0.002600006100462866,0.41465555448371105
103,0.002588057024328498,0.41724361150803957
104,0.002582917530915473,0.41982652903895507
105,0.002571194261526789,0.42239772330048186
106,0.0025667460227114932,0.4249644693231934
107,0.0025529519309197587,0.42751742125411313
108,0.0025485876242959567,0.43006600887840907
109,0.0025358937972579975,0.43260190267566706
110,0.002523625508103703,0.43512552818377076
111,0.0025070731081753526,0.4376326012919461
112,0.002493550808306578,0.4401261521002527
113,0.002487240481029621,0.4426133925812823
114,0.0024790259289855115,0.4450924185102678
115,0.0024714771788683135,0.4475638956891361
116,0.002451398359137766,0.4500152940482739
117,0.002448162168538623,0.4524634562168125
118,0.0024392508205798536,0.45490270703739233
119,0.0024342221721005064,0.4573369292094928
120,0.0024265687810050168,0.4597634979904978
121,0.002414269665052037,0.46217776765554985
122,0.0024078675262887437,0.4645856351818386
123,0.0023974779054475245,0.46698311308728613
124,0.0023866702070042926,0.4693697832942904
125,0.0023721628617966958,0.4717419461560871
126,0.0023663183999393053,0.4741082645560264
127,0.002362211329712919,0.4764704758857393
128,0.002359144699088516,0.4788296205848278
129,0.002342015492784455,0.48117163607761226
130,0.0023368981960050898,0.48350853427361734
131,0.002332902534116226,0.48584143680773356
132,0.002323320292533699,0.48816475710026724
133,0.002311861981407447,0.49047661908167467
134,0.0023062663054136123,0.49278288538708825
135,0.0023006101042210673,0.4950834954913093
136,0.002284070383695375,0.4973675658750047
137,0.0022787674523315543,0.49964633332733627
138,0.0022762990819677857,0.501922632409304
139,0.0022657123562208484,0.5041883447655249
140,0.002255069710313371,0.5064434144758383
141,0.002252701733798948,0.5086961162096373
142,0.0022456432713850853,0.5109417594810224
143,0.0022396184752412804,0.5131813779562636
144,0.0022334584610558808,0.5154148364173194
145,0.0022254310222399906,0.5176402674395595
146,0.0022238218191029425,0.5198640892586625
147,0.002213605689085758,0.5220776949477482
148,0.002207145959135,0.5242848409068832
149,0.002197681746118217,0.5264825226530014
150,0.002191958294351177,0.5286744809473526
151,0.002190289391006567,0.5308647703383591
152,0.0021746333761971637,0.5330394037145563
153,0.0021657232639466094,0.5352051269785029
154,0.0021628219083576674,0.5373679488868606
155,0.0021563640457339162,0.5395243129325945
156,0.0021539046444621047,0.5416782175770566
157,0.0021454304855143616,0.543823648062571
158,0.002139468570596947,0.545963116633168
159,0.002122488931549005,0.548085605564717
160,0.002119988329926005,0.550205593894643
161,0.0021132553969919624,0.5523188492916349
162,0.0021077302482701457,0.554426579539905
163,0.002102263250873957,0.556528842790779
164,0.0020928204591798044,0.5586216632499588
165,0.002090013991259108,0.5607116772412178
166,0.002086925024309739,0.5627986022655276
167,0.00208541862828998,0.5648840208938175
168,0.002080603637320993,0.5669646245311385
169,0.0020747285932996742,0.5690393531244382
170,0.002069040842216516,0.5711083939666547
171,0.002065454324072771,0.5731738482907275
172,0.002061862161481131,0.5752357104522086
173,0.002052985898431229,0.5772886963506398
174,0.0020522088756798015,0.5793409052263196
175,0.0020399933348051063,0.5813808985611247
176,0.002033428905506275,0.583414327466631
177,0.0020287822746402383,0.5854431097412712
178,0.0020236672711287217,0.5874667770123999
179,0.0020210876325406964,0.5894878646449406
180,0.0020126368871438397,0.5915005015320844
181,0.0020105735697483157,0.5935110751018328
182,0.0020035698502996304,0.5955146449521324
183,0.0019960174869352357,0.5975106624390676
184,0.001992894151804002,0.5995035565908716
185,0.0019802265301499715,0.6014837831210216
186,0.00197787932914151,0.6034616624501631
187,0.00197285077802428,0.6054345132281873
188,0.0019665301620933164,0.6074010433902807
189,0.0019580715307609227,0.6093591149210416
190,0.001954049000702383,0.611313163921744
191,0.0019484512844653438,0.6132616152062093
192,0.0019471205947657157,0.615208735800975
193,0.0019446634744204323,0.6171533992753955
194,0.001936689071595569,0.6190900883469911
195,0.001928683421394038,0.6210187717683852
196,0.0019275796815075238,0.6229463514498926
197,0.001923233454416404,0.624869584904309
198,0.001917919705394666,0.6267875046097037
199,0.0019167551671831098,0.6287042597768868
200,0.0019103690678853003,0.6306146288447722
201,0.0019019540536691585,0.6325165828984413
202,0.001899532450988957,0.6344161153494302
203,0.0018962782484887955,0.636312393597919
204,0.0018907966041510145,0.6382031902020701
205,0.0018890484563388358,0.6400922386584089
206,0.001885448772631877,0.6419776874310408
207,0.0018816405470525217,0.6438593279780933
208,0.0018777342299651357,0.6457370622080585
209,0.001871941644366267,0.6476090038524247
210,0.0018709023876795018,0.6494799062401042
211,0.0018676386956261413,0.6513475449357303
212,0.0018633480598849975,0.6532108929956153
213,0.0018607578364058413,0.6550716508320211
214,0.0018549027617003114,0.6569265535937214
215,0.001848815959424388,0.6587753695531459
216,0.0018464655833211388,0.660621835136467
217,0.0018424277723963125,0.6624642629088633
218,0.0018411660539512018,0.6643054289628145
219,0.001836897796375642,0.6661423267591902
220,0.001831414881317,0.6679737416405072
221,0.0018287182100673056,0.6698024598505745
222,0.001826589450995509,0.6716290493015701
223,0.0018205490853619045,0.673449598386932
224,0.0018168614726169522,0.6752664598595489
225,0.0018094293543069523,0.6770758892138559
226,0.0018046019740072404,0.6788804911878631
227,0.0018026615351760783,0.6806831527230391
228,0.0018016846214827153,0.6824848373445218
229,0.0017976302507162563,0.684282467595238
230,0.001796692094155193,0.6860791596893933
231,0.0017948693497209427,0.6878740290391142
232,0.0017893386312141232,0.6896633676703283
233,0.0017873908833210463,0.6914507585536493
234,0.0017853985005661889,0.6932361570542155
235,0.0017795654123761782,0.6950157224665917
236,0.0017780420576431596,0.6967937645242349
237,0.0017758903484768832,0.6985696548727118
238,0.0017732210742718317,0.7003428759469836
239,0.0017713572379883936,0.702114233184972
240,0.0017689022347510766,0.7038831354197231
241,0.001766764333374481,0.7056498997530977
242,0.00176051425384083,0.7074104140069385
243,0.0017601985015297985,0.7091706125084682
244,0.00175642817982646,0.7109270406882947
245,0.0017549885263432683,0.712682029214638
246,0.001753976775885305,0.7144360059905233
247,0.0017519176163857198,0.716187923606909
248,0.0017482453754038355,0.7179361689823128
249,0.0017454665523214687,0.7196816355346343
250,0.0017417108296557506,0.7214233463642901
251,0.0017388863283697646,0.7231622326926598
252,0.0017351704867013729,0.7248974031793611
253,0.0017320145927359218,0.7266294177720971
254,0.00173089314822892,0.728360310920326
255,0.0017253568464470682,0.7300856677667731
256,0.0017207699927131068,0.7318064377594862
257,0.001714388318421095,0.7335208260779073
258,0.001711525257916747,0.735232351335824
259,0.001708174509207134,0.7369405258450311
260,0.0017053186446558282,0.738645844489687
261,0.0017041199254854507,0.7403499644151724
262,0.001700293557118569,0.742050257972291
263,0.00169536828598623,0.7437456262582772
264,0.0016923121203752044,0.7454379383786525
265,0.0016895099873787231,0.7471274483660312
266,0.001685859388659273,0.7488133077546905
267,0.0016817247056108544,0.7504950324603014
268,0.0016753703700692504,0.7521704028303706
269,0.0016749855927850647,0.7538453884231557
270,0.0016696476900866309,0.7555150361132423
271,0.0016644913281193654,0.7571795274413617
272,0.0016637823862555327,0.7588433098276173
273,0.0016566929022653037,0.7605000027298826
274,0.0016532633868765855,0.7621532661167592
275,0.001649964548765335,0.7638032306655245
276,0.0016413491767196084,0.7654445798422441
277,0.0016406930737365292,0.7670852729159806
278,0.001637572437609279,0.7687228453535899
279,0.0016318441020768584,0.7703546894556668
280,0.0016310703035445641,0.7719857597592114
281,0.0016271027639930655,0.7736128625232044
282,0.0016204886010256867,0.7752333511242301
283,0.001619343661297802,0.7768526947855279
284,0.0016146399529162378,0.7784673347384441
285,0.0016099451373734832,0.7800772798758175
286,0.001605160264140246,0.7816824401399578
287,0.0016002444056460443,0.7832826845456038
288,0.0015957888637677681,0.7848784734093716
289,0.001591557431090953,0.7864700308404625
290,0.00158787305337669,0.7880579038938392
291,0.0015798485337335266,0.7896377524275727
292,0.0015765238929983745,0.7912142763205711
293,0.0015709262093878888,0.792785202529959
294,0.0015672286736352816,0.7943524312035942
295,0.001564866719326691,0.7959172979229209
296,0.0015588375148895572,0.7974761354378105
297,0.0015546896436439456,0.7990308250814544
298,0.0015522586281179575,0.8005830837095723
299,0.0015489891247611508,0.8021320728343335
300,0.001544365977812763,0.8036764388121462
301,0.0015409968181651456,0.8052174356303113
302,0.0015355101282348077,0.8067529457585462
303,0.0015312215432480409,0.8082841673017942
304,0.0015248849483060164,0.8098090522501002
305,0.0015232619480954495,0.8113323141981957
306,0.001520393031479986,0.8128527072296757
307,0.0015142055512146837,0.8143669127808905
308,0.0015106671403624088,0.8158775799212529
309,0.0015058749431992684,0.8173834548644522
310,0.0014978898310861642,0.8188813446955383
311,0.0014920378988429288,0.8203733825943812
312,0.0014899737941960602,0.8218633563885772
313,0.0014820250555324232,0.8233453814441096
314,0.0014780966747492737,0.8248234781188589
315,0.0014741344733244894,0.8262976125921834
316,0.00147070156919116,0.8277683141613745
